item;descrição;quantidade;unidade;CONDOR - FRANCISCO DEROSSO;RIO VERDE - BAIRRO ALTO II;Max Muffato - Bairro Alto
;;;;R. Francisco Derosso, 3300 - Curitiba/PR ;R. José de Oliveira Franco, 2629 - Curitiba/PR ;Avenida Caviúna - Bairro Alto - Curitiba/PR 
1;OVOS TIPO GRANDE BRANCO -( + ) BARATO;10;12 Unidades;R$ 69,80;R$ 129,90;R$ 72,90
2;CEBOLA;1;1 KG;R$ 7,49;R$ 7,99;R$ 3,79
3;CENOURA;1;1 KG;R$ 2,97;R$ 4,99;R$ 2,77
4;CHEIRO VERDE;2;1 MC/CX;R$ 5,98;R$ 4,58;R$ 4,78
5;LIMÃO TAITI;1;1 KG;R$ 6,99;R$ 7,69;R$ 7,49
6;BANANA CATURRA;1;1 KG;R$ 4,39;R$ 4,99;R$ 3,99
7;TOMATE LONGA VIDA;1;1 KG;R$ 4,87;R$ 9,99;R$ 4,87
8;BATATA MONALISA;1;1 KG;R$ 3,99;R$ 9,99;R$ 14,99
9;QUEIJO PARMESÃO RALADO -( + ) BARATO;26;50 GR;R$ 127,14;R$ 4,69;R$ 2,77
10;QUEIJO MUSSARELA Fatiado -FRIMESA;1;200 GR;R$ 10,59;R$ 155,74;R$ 121,94
11;CREME DE LEITE -FRIMESA;3;200 GR;R$ 9,45;R$ 12,39;R$ 14,19
12;ÓLEO DE SOJA -COAMO;7;900 ML;R$ 34,65;R$ 8,96;R$ 2,49
13;FARINHA DE TRIGO -( + ) BARATO;4;1 KG;R$ 14,60;R$ 3,19;R$ 36,90
14;CEBOLA ROXA;0;1 KG;R$ 0,00;R$ 36,90;R$ 8,67
15;MANTEIGA EXTRA COM SAL -VIDATIVA;0;200 GR;R$ 0,00;R$ 10,17;R$ 37,03
16;IOGURTE INTEGRAL BICAMADAS -TIROL;0;130 GR;R$ 0,00;R$ 34,23;R$ 11,16
17;BACON SUÍNO -FRIMESA;0;1 KG;R$ 0,00;R$ 19,16;R$ 0,00
18;LEITE INTEGRAL 3% DE GORDURA -SANTA CLARA;0;1 LITRO;R$ 0,00;R$ 0,00;R$ 0,00
19;ARROZ PARBOILIZADO -ARNO;0;1 KG;R$ 0,00;R$ 0,00;R$ 0,00
20;POLVILHO DOCE -RD ALIMENTOS;0;500 GR;R$ 0,00;R$ 0,00;R$ 0,00
21;MACARRÃO INSTANTÂNEO -( + ) BARATO;0;85 GR;R$ 0,00;R$ 0,00;R$ 0,00
;;;Total;R$ 302,91;R$ 465,55;R$ 350,73
